Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,198000.0,199000.0,186000.0,191500.0,163680.015625,12918296
2020-12-10,193000.0,194500.0,186000.0,190500.0,162825.3125,6502382
2020-12-17,191000.0,191000.0,183000.0,187000.0,159833.75,5795853
2020-12-24,187000.0,193500.0,187000.0,192000.0,164107.390625,5260015
2020-12-31,192000.0,213000.0,192000.0,206000.0,178905.796875,14001174
2021-01-07,240500.0,289000.0,225000.0,250500.0,217552.953125,51603153
2021-01-14,252000.0,277000.0,234000.0,264500.0,229711.59375,20178406
2021-01-21,261000.0,263000.0,236500.0,238500.0,207131.234375,10059463
2021-01-28,242000.0,253000.0,224500.0,248500.0,215816.0,10872687
2021-02-04,249500.0,250500.0,228500.0,245000.0,212776.328125,7378196
2021-02-11,245000.0,251000.0,235500.0,235500.0,204525.828125,4226614
2021-02-18,236500.0,249000.0,235000.0,245000.0,212776.328125,7591044
2021-02-25,238500.0,249000.0,232500.0,235000.0,204091.59375,7405567
2021-03-04,230500.0,237500.0,227000.0,228500.0,198446.5,5316824
2021-03-11,231500.0,238000.0,229000.0,234000.0,203223.109375,3859188
2021-03-18,230000.0,232000.0,216000.0,218000.0,189327.515625,4956995
2021-03-25,219500.0,224500.0,211000.0,219000.0,190195.984375,5101442
2021-04-01,225500.0,238500.0,225000.0,231500.0,201051.9375,7000615
2021-04-08,231500.0,237000.0,225500.0,230500.0,200183.46875,3516144
2021-04-15,231500.0,233500.0,224000.0,226000.0,196275.296875,3889876
2021-04-22,225500.0,225500.0,217000.0,217500.0,188893.265625,4369101
2021-04-29,216000.0,225000.0,211000.0,223500.0,194104.125,3956501
2021-05-06,223500.0,233000.0,221000.0,229500.0,199314.96875,5852587
2021-05-13,234000.0,236000.0,224000.0,224500.0,194972.609375,4457508
2021-05-20,227000.0,233000.0,220000.0,220500.0,191498.703125,6276518
2021-05-27,223500.0,243000.0,223000.0,238500.0,207131.234375,7295478
2021-06-03,241500.0,247500.0,236000.0,236000.0,204960.0625,5588429
2021-06-10,237500.0,243000.0,235000.0,236500.0,205394.3125,3223491
2021-06-17,237000.0,249000.0,232000.0,242500.0,210605.140625,5496204
2021-06-24,243500.0,244500.0,236000.0,242000.0,210170.859375,3425698
2021-07-01,243500.0,243500.0,229000.0,229500.0,200145.4375,4552338
2021-07-08,227500.0,232500.0,225000.0,231500.0,201889.640625,3314406
2021-07-15,230000.0,232000.0,225000.0,228500.0,199273.359375,2959759
2021-07-22,229000.0,229000.0,221000.0,222000.0,193604.78125,4415782
2021-07-29,222000.0,225000.0,217000.0,223000.0,194476.828125,3374551
2021-08-05,224500.0,225000.0,218000.0,219000.0,190988.453125,2817275
2021-08-12,221500.0,221500.0,205000.0,206500.0,180087.296875,3580639
2021-08-19,207000.0,212500.0,200000.0,210000.0,183139.640625,3798965
2021-08-26,209000.0,218500.0,205000.0,211500.0,184447.765625,3201504
2021-09-02,213000.0,216000.0,208000.0,208500.0,181831.5,2937007
2021-09-09,208500.0,211500.0,204000.0,208000.0,181395.421875,2879127
2021-09-16,208000.0,210000.0,204500.0,208500.0,181831.5,1223418
2021-09-23,209500.0,210500.0,197500.0,200000.0,174418.71875,3247584
2021-09-30,198000.0,203000.0,189000.0,201000.0,175290.78125,4219036
